,,Supermercados Nacionales,Supermercados Nacionales,Supermercados Nacionales,Supermercados Nacionales,Supermercados Interior,Supermercados Interior
,,Coto,Coto,CRF,CRF,Cordiez (CBA),Cordiez (CBA)
,,Precio,Oferta,Precio,Oferta,Precio,Oferta
Tipo,Descripción,,,,,,
AZÚCAR LIGHT,Ledesma,0,0,0,0,0,0
AZÚCAR LIGHT,Hileret,0,0,0,0,0,0
AZÚCAR LIGHT,EqualSwet Stevia,0,0,0,0,0,0
AZÚCAR LIGHT,Chango 50% calorías,0,0,0,0,0,0
AZÚCAR LIGHT,Hileret 250 gr,0,0,0,0,0,0
RUBIA MASCABO,Ledesma Mascabo 800gr,0,0,0,0,0,0
RUBIA MASCABO,Chango Orgánica 1kg,0,0,0,0,0,0
POLVOS 50 SOBRES,Ledesma,0,0,0,0,0,0
POLVOS 50 SOBRES,Hileret,0,0,0,0,0,0
POLVOS 50 SOBRES,Cañuelas,0,0,0,0,0,0
POLVOS 50 SOBRES,LIV,0,0,0,0,0,0
POLVOS 50 SOBRES,Equal,0,0,0,0,0,0
POLVOS 50 SOBRES,Tuy,0,0,0,0,0,0
POLVOS 100 SOBRES,Ledesma,0,0,0,0,0,0
POLVOS 100 SOBRES,Hileret,0,0,0,0,0,0
POLVOS 100 SOBRES,Cañuelas,0,0,0,0,0,0
POLVOS 100 SOBRES,LIV,0,0,0,0,0,0
POLVOS 100 SOBRES,Equal,0,0,0,0,0,0
POLVOS 100 SOBRES,Tuy,0,0,0,0,0,0
POLVOS 200 SOBRES,Ledesma,0,0,0,0,0,0
POLVOS 200 SOBRES,Hileret,0,0,0,0,0,0
POLVOS 200 SOBRES,LIV,0,0,0,0,0,0
POLVOS 200 SOBRES,Equal,0,0,0,0,0,0
POLVOS 200 SOBRES,Tuy,0,0,0,0,0,0
LIQ. SUCRA 100 a 300 cc,Ledesma,0,0,0,0,0,0
LIQ. SUCRA 100 a 300 cc,Hileret,0,0,0,0,0,0
LIQ. SUCRA 100 a 300 cc,Cañuelas,0,0,0,0,0,0
LIQ. SUCRA 100 a 300 cc,LIV,0,0,0,0,0,0
LIQ. SUCRA 100 a 300 cc,Tuy,0,0,0,0,0,0
"LIQ, STEVIA 100 a 300 cc",Ledesma,0,0,0,0,0,0
"LIQ, STEVIA 100 a 300 cc",Hileret,0,0,0,0,0,0
"LIQ, STEVIA 100 a 300 cc",Cañuelas,0,0,0,0,0,0
"LIQ, STEVIA 100 a 300 cc",LIV,0,0,0,0,0,0
"LIQ, STEVIA 100 a 300 cc",Equal,0,0,0,0,0,0
"LIQ, STEVIA 100 a 300 cc",Tuy,0,0,0,0,0,0
LIQ. CLÁSICO 100 a 300 cc,Cañuelas Clasico 200 ml,0,0,0,0,0,0
LIQ. CLÁSICO 100 a 300 cc,Hileret Clasico 250 ml,0,0,0,0,0,0
LIQ. CLÁSICO 100 a 300 cc,Hileret mate 200 ml,0,0,0,0,0,0
LIQ. CLÁSICO 100 a 300 cc,Hileret Sweet 200 cc,0,0,0,0,0,0
LIQ. CLÁSICO 100 a 300 cc,LIV Clasico 200 ml,0,0,0,0,0,0
LIQ. CLÁSICO 100 a 300 cc,Chuker Clasico 200 ml,0,0,0,0,0,0
AZÚCAR BLANCA,Ledesma Clasica,0,0,0,0,0,0
AZÚCAR BLANCA,Ledesma Superior,0,0,0,0,0,0
AZÚCAR BLANCA,Domino,0,0,0,0,0,0
AZÚCAR BLANCA,Azucel 1kg,0,0,0,0,0,0
AZÚCAR BLANCA,Crystal,0,0,0,0,0,0
AZÚCAR BLANCA,Providencia 1kg,0,0,0,0,0,0
AZÚCAR BLANCA,Check (changomas),0,0,0,0,0,0
AZÚCAR BLANCA,Ancaste 1kg,0,0,0,0,0,0
AZÚCAR BLANCA,Fronterita 1kg,0,0,0,0,0,0
AZÚCAR BLANCA,Dul-C 1kg,0,0,0,0,0,0
AZÚCAR BLANCA,Bella Vista 1kg,0,0,0,0,0,0
