,Supermercado,Producto,Precio Lista,Precio Oferta
0,DÍA,Azúcar Plus DIA Común tipo A 1 Kg.,990.0,
1,DÍA,Azúcar Ledesma Refinado Superior 1 Kg.,1160.0,
2,DÍA,"Azúcar Azucel Común tipo ""A"" 500 Gr.",710.0,
3,DÍA,Azúcar Rubia Mascabo Ledesma 800 Gr.,1855.0,
4,DÍA,Azúcar Light Hileret 250 Gr.,1400.0,
5,DÍA,Azúcar Azucel Común tipo A 1 Kg.,1390.0,
6,DÍA,Azúcar La Providencia 1 Kg.,1130.0,
7,La Anonima,Azúcar Blanco Refinado Superior  Ledesma x 1 Kg.,1190.0,
8,La Anonima,"Azucar Comun ""A"" Ancaste x 1 Kg.",890.0,
9,La Anonima,Azúcar Común A Chango x 1 Kg.,1280.0,
10,La Anonima,Azúcar Blanca Refinada Chango x 1 Kg.,1330.0,
11,La Anonima,Endulzante Pastillas Equalsweet x 100 un.,3080.0,
12,La Anonima,Azúcar Rubio Mascabo Ledesma x 800 g.,2250.0,
13,La Anonima,Endulzante Sobres Hileret Stevia x 100 un.,3900.0,
14,La Anonima,Endulzante de Mesa Dietético sin TACC Chango x 500 g.,2600.0,
15,La Anonima,Endulzante Sobres Stevia Hileret x 50 un.,2250.0,
16,La Anonima,Endulzante Sobres Forte Hileret x 50 un.,1850.0,
17,La Anonima,Endulzante Sobres Hileret Stevia x 200 un.,7050.0,
18,La Anonima,Endulzante Sobres Equalsweet x 50 un.,2900.0,
19,La Anonima,Endulzante Líquido Hileret Stevia Pet x 200 cc.,4350.0,
20,La Anonima,Endulzante Sobres Zucra Hileret x 200 un.,6050.0,
21,La Anonima,Endulzante Sobres Forte Hileret x 200 un.,5500.0,
22,La Anonima,Endulzante Liquido Pet Forte Hileret x 500 cc.,3700.0,
23,La Anonima,Azúcar Orgánico AP sin TACC Chango x 1 kg.,4850.0,
24,La Anonima,Endulzante Líquido Pet Sweet Hileret x 400 cc.,3900.0,
25,La Anonima,Endulzante Líquido Hileret Zucra Pet x 400 cc.,4500.0,
26,La Anonima,Azúcar Light Hileret x 250 g.,1500.0,
27,La Anonima,Endulzante Liquido Stevia Ledesma x 200 cc.,4200.0,
28,La Anonima,Endulzante Sobres Hileret Zucra x 50 un.,1950.0,
29,La Anonima,Endulzante Sobres Sweet Hileret x 200 Un.,5850.0,
30,La Anonima,Endulzante Sobres 0% Calorías Ledesma x 50 un.,1550.0,
31,La Anonima,Endulzante Light Ledesma x 500 g.,2550.0,
32,La Anonima,Endulzante Sobres Zucra Hileret x 100 un.,3350.0,
33,La Anonima,Endulzante Sobres Forte Hileret x 100 un.,3150.0,
34,La Anonima,Endulzante Liquido Pet Forte Hileret x 250 cc.,2200.0,
35,La Anonima,Endulzante Liquido Pet Mate Hileret x 400 cc.,3300.0,
36,La Anonima,Azúcar Light Hileret x 500 g.,2550.0,
37,La Anonima,Endulzante Líquido Pet Sweet Hileret x 200 cc.,2300.0,
38,La Anonima,Endulzante Clásico Chuker x 200 cc.,2800.0,
39,La Anonima,Endulzante Stevia Chuker x 400 cc.,5900.0,
